"","CODE","NAME_LSE","edit"
"292","SN.","SMITH & NEPHEW PLC ORD USD0.20","SMITH & NEPHEW PLC "
"293","SMDS","SMITH (DS) PLC ORD 10P","SMITH (DS) PLC "
"294","SMIN","SMITHS GROUP PLC ORD 37.5P","SMITHS GROUP PLC "
"295","SSON","SMITHSON INVESTMENT TRUST PLC ORD 1P","SMITHSON INVESTMENT TRUST PLC "
"296","SKG","SMURFIT KAPPA GROUP PLC ORD EUR0.001","SMURFIT KAPPA GROUP PLC "
"297","SCT","SOFTCAT PLC ORD ?0.0005","SOFTCAT PLC "
"298","SOPH","SOPHOS GROUP PLC ORD 3P","SOPHOS GROUP PLC "
"299","SXS","SPECTRIS PLC ORD 5P","SPECTRIS PLC "
"300","SPX","SPIRAX-SARCO ENGINEERING PLC ORD 26 12/13P","SPIRAX-SARCO ENGINEERING PLC "
"301","SPT","SPIRENT COMMUNICATIONS PLC ORD 3 1/3P","SPIRENT COMMUNICATIONS PLC "
"302","SPD","SPORTS DIRECT INTERNATIONAL PLC ORD 10P","SPORTS DIRECT INTERNATIONAL PLC "
"303","SSE","SSE PLC ORD 50P","SSE PLC "
"304","SSPG","SSP GROUP PLC ORD 1 17/200P","SSP GROUP PLC "
"305","STJ","ST. JAMES'S PLACE PLC ORD 15P","ST. JAMES'S PLACE PLC "
"306","SMP","ST.MODWEN PROPERTIES PLC ORD 10P","ST.MODWEN PROPERTIES PLC "
"307","SGC","STAGECOACH GROUP PLC ORD 125/228P","STAGECOACH GROUP PLC "
"308","STAN","STANDARD CHARTERED PLC ORD USD0.50","STANDARD CHARTERED PLC "
"309","SLA","STANDARD LIFE ABERDEEN PLC ORD 13 61/63P","STANDARD LIFE ABERDEEN PLC "
"310","SYNC","SYNCONA LIMITED ORD NPV","SYNCONA LIMITED "
"311","SYNT","SYNTHOMER PLC ORD 10P","SYNTHOMER PLC "
"312","TALK","TALKTALK TELECOM GROUP PLC ORD 0.1P","TALKTALK TELECOM GROUP PLC "
"313","TATE","TATE & LYLE PLC ORD 25P","TATE & LYLE PLC "
"314","TW.","TAYLOR WIMPEY PLC ORD 1P","TAYLOR WIMPEY PLC "
"315","TBCG","TBC BANK GROUP PLC ORD GBP0.01","TBC BANK GROUP PLC "
"316","TED","TED BAKER PLC ORD 5P","TED BAKER PLC "
"317","TEP","TELECOM PLUS PLC ORD 5P","TELECOM PLUS PLC "
"318","TMPL","TEMPLE BAR INVESTMENT TRUST PLC ORD 25P","TEMPLE BAR INVESTMENT TRUST PLC "
"319","TEM","TEMPLETON EMERGING MARKETS INVESTMENT TRUST PLC ORD 25P","TEMPLETON EMERGING MARKETS INVESTMENT TRUST PLC "
"320","TSCO","TESCO PLC ORD 5P","TESCO PLC "
"321","TIFS","TI FLUID SYSTEMS PLC ORD 1P","TI FLUID SYSTEMS PLC "
"322","TCAP","TP ICAP PLC ORD 25P","TP ICAP PLC "
"323","TRY","TR PROPERTY INVESTMENT TRUST PLC ORD 25P","TR PROPERTY INVESTMENT TRUST PLC "
"324","TPK","TRAVIS PERKINS PLC ORD 10P","TRAVIS PERKINS PLC "
"325","BBOX","TRITAX BIG BOX REIT PLC ORD 1P","TRITAX BIG BOX REIT PLC "
"326","TUI","TUI AG ORD REG SHS NPV (DI)","TUI AG "
"327","TLW","TULLOW OIL PLC ORD 10P","TULLOW OIL PLC "
"328","UDG","UDG HEALTHCARE PUBLIC LIMITED COMPANY ORD EUR0.05","UDG HEALTHCARE PUBLIC LIMITED COMPANY "
"329","UKCM","UK COMMERCIAL PROPERTY REIT LIMITED ORD 25P","UK COMMERCIAL PROPERTY REIT LIMITED "
"330","ULE","ULTRA ELECTRONICS HOLDINGS PLC ORD 5P","ULTRA ELECTRONICS HOLDINGS PLC "
"331","ULVR","UNILEVER PLC ORD 3 1/9P","UNILEVER PLC "
"332","UTG","UNITE GROUP PLC ORD 25P","UNITE GROUP PLC "
"333","UU.","UNITED UTILITIES GROUP PLC ORD 5P","UNITED UTILITIES GROUP PLC "
"334","VSVS","VESUVIUS PLC ORD 10P","VESUVIUS PLC "
"335","VCT","VICTREX PLC ORD 1P","VICTREX PLC "
"336","VEIL","VIETNAM ENTERPRISE INVESTMENTS LIMITED ORD USD0.01 (DI)","VIETNAM ENTERPRISE INVESTMENTS LIMITED "
"337","VOF","VINACAPITAL VIETNAM OPPORTUNITY FUND LD ORD $0.01","VINACAPITAL VIETNAM OPPORTUNITY FUND LD "
"338","VVO","VIVO ENERGY PLC ORD USD0.50","VIVO ENERGY PLC "
"339","VOD","VODAFONE GROUP PLC ORD USD0.20 20/21","VODAFONE GROUP PLC "
"340","WEIR","WEIR GROUP PLC ORD 12.5P","WEIR GROUP PLC "
"341","JDW","WETHERSPOON ( J.D.) PLC ORD 2P","WETHERSPOON ( J.D.) PLC "
"342","SMWH","WH SMITH PLC ORD 22 6/67P","WH SMITH PLC "
"343","WTB","WHITBREAD PLC ORD 76 122/153P","WHITBREAD PLC "
"344","WMH","WILLIAM HILL PLC ORD 10P","WILLIAM HILL PLC "
"345","WTAN","WITAN INVESTMENT TRUST PLC ORD 5P","WITAN INVESTMENT TRUST PLC "
"346","WIZZ","WIZZ AIR HOLDINGS PLC ORD GBP0.0001","WIZZ AIR HOLDINGS PLC "
"347","WG.","WOOD GROUP (JOHN) PLC ORD 4 2/7P","WOOD GROUP (JOHN) PLC "
"348","WPCT","WOODFORD PATIENT CAPITAL TRUST PLC ORD 1P","WOODF"
"349","WKP","WORKSPACE GROUP PLC ORD GBP1","WORKSPACE GROUP PLC "
"350","WWH","WORLDWIDE HEALTHCARE TRUST PLC ORD 25P","WORLDWIDE HEALTHCARE TRUST PLC "
"351","WPP","WPP PLC ORD 10P","WPP PLC "
