"","Name","Age","Since","Current.Position","company_code","company_name"
"717","Jesper Ovesen",62,2016,"Non-Executive Independent Director","CTEC","CONVATEC"
"718","Rosalind Rivaz",63,2017,"Non-Executive Independent Director","CTEC","CONVATEC"
"719","Martin Davey",NA,2004,"Executive Chairman of the Board","CWK","CRANSWICK"
"720","Adam Couch",NA,2012,"Chief Executive, Executive Director","CWK","CRANSWICK"
"721","J. Mark Bottomley",NA,2009,"Finance Director, Executive Director","CWK","CRANSWICK"
"722","Jim Brisby",NA,2014,"Executive Director, Commercial Director","CWK","CRANSWICK"
"723","Steven Glover",NA,2018,"Group Company Secretary","CWK","CRANSWICK"
"724","Kate Allum",NA,2013,"Independent Non-Executive Director","CWK","CRANSWICK"
"725","Pamela Powell",NA,2018,"Independent Non-Executive Director","CWK","CRANSWICK"
"726","Mark Reckitt",NA,2018,"Senior Non-Executive Independent Director","CWK","CRANSWICK"
"727","Tim Smith",NA,2018,"Non-Executive Independent Director","CWK","CRANSWICK"
"728","Stephen Stone",NA,2019,"Non-Executive Chairman of the Board","CRST","CREST NICHOLSON"
"729","Chris Tinker",NA,2019,"Interim Chief Executive, Executive Director","CRST","CREST NICHOLSON"
"730","Leslie Van de Walle",NA,2018,"Deputy Chairman of the Board, Senior Non-Executive Independent Director","CRST","CREST NICHOLSON"
"731","Duncan Cooper",NA,2019,"Group Finance Director, Executive Director","CRST","CREST NICHOLSON"
"732","Rod Holdsworth",NA,2019,"Interim Group Finance Director","CRST","CREST NICHOLSON"
"733","Darren Dancey",44,2016,"Executive Managing Director","CRST","CREST NICHOLSON"
"734","Robin Hoyles",63,2011,"Group Land and Planning Director","CRST","CREST NICHOLSON"
"735","Kevin Maguire",33,2009,"Group Company Secretary","CRST","CREST NICHOLSON"
"736","Lucinda Bell",NA,2018,"Non-Executive Independent Director","CRST","CREST NICHOLSON"
"737","Sharon Flood",52,2015,"Non-Executive Independent Director","CRST","CREST NICHOLSON"
"738","Louise Hardy",52,2018,"Non-Executive Independent Director","CRST","CREST NICHOLSON"
"739","Octavia Morley",50,2017,"Non-Executive Independent Director","CRST","CREST NICHOLSON"
"740","Nicky Hartery",67,2012,"Non-Executive Independent Chairman of the Board","CRH","CRH"
"741","Albert Manifold",56,2014,"Chief Executive, Executive Director","CRH","CRH"
"742","Senan Murphy",50,2016,"Finance Director, Executive Director","CRH","CRH"
"743","Richard Boucher",60,2018,"Non-Executive Independent Director","CRH","CRH"
"744","Patrick Kennedy",65,2015,"Non-Executive Independent Director","CRH","CRH"
"745","Heather McSharry",57,2012,"Non-Executive Independent Director","CRH","CRH"
"746","Gillian Platt",65,2018,"Senior Non-Executive Independent Director","CRH","CRH"
"747","Mary Rhinehart",60,2018,"Non-Executive Independent Director","CRH","CRH"
"748","Lucinda Riches",57,2015,"Non-Executive Independent Director","CRH","CRH"
"749","Henk Rottinghuis",63,2014,"Non-Executive Independent Director","CRH","CRH"
"750","Siobhan Talbot",55,2018,"Non-Executive Independent Director","CRH","CRH"
"751","Anita Frew",NA,2015,"Non-Executive Chairman of the Board","CRDA","CRODA INTL."
"752","Steve Foots",49,2012,"Group Chief Executive, Executive Director","CRDA","CRODA INTL."
"753","Jeremy Maiden",56,2015,"Group Finance Director, Executive Director","CRDA","CRODA INTL."
"754","Tom Brophy",44,2012,"Group General Counsel and Company Secretary","CRDA","CRODA INTL."
"755","Roberto Cirillo",47,2018,"Non-Executive Director","CRDA","CRODA INTL."
"756","Jacqui Ferguson",NA,2018,"Non-Executive Director","CRDA","CRODA INTL."
"757","Keith Layden",58,2017,"Non-Executive Director","CRDA","CRODA INTL."
"758","Alan Ferguson",61,2018,"Senior Non-Executive Independent Director","CRDA","CRODA INTL."
"759","Helena Ganczakowski",55,2014,"Non-Executive Independent Director","CRDA","CRODA INTL."
"760","Conleth Campbell",NA,NA,"Vice President Investor Relations & Corporate Finance","CRDA","CRODA INTL."
"761","B.S. Freshwater",70,1980,"Chairman of the Board, Managing Director","DJAN","DAEJAN HLDGS"
"762","S. Freshwater",67,1986,"Executive Director","DJAN","DAEJAN HLDGS"
"763","M. Jenner",NA,NA,"Company Secretary","DJAN","DAEJAN HLDGS"
"764","A. Freshwater",47,2010,"Non-Executive Director","DJAN","DAEJAN HLDGS"
"765","C. Freshwater",46,2017,"Non-Executive Director","DJAN","DAEJAN HLDGS"
"766","R. Freshwater",48,2010,"Non-Executive Director","DJAN","DAEJAN HLDGS"
"767","Solly Benaim",62,2017,"Non-Executive Independent Director","DJAN","DAEJAN HLDGS"
"768","D. Davis",83,1971,"Non-Executive Independent Director","DJAN","DAEJAN HLDGS"
"769","S. Srulowitz",66,2017,"Non-Executive Independent Director","DJAN","DAEJAN HLDGS"
"770","John Moloney",65,2014,"Non-Executive Independent Chairman of the Board","DCC","DCC"
"771","Donal Murphy",52,2017,"Chief Executive, Executive Director","DCC","DCC"
"772","Fergal O'Dwyer",58,2018,"Chief Financial Officer, Executive Director","DCC","DCC"
"773","Peter Quinn",NA,2014,"Chief Information Officer","DCC","DCC"
"774","Michael Scholefield",NA,2015,"Managing Director - DCC Corporate Finance","DCC","DCC"
"775","Kevin Lucey",NA,2018,"Head - Capital Markets","DCC","DCC"
"776","John Barcroft",NA,2015,"Head - Group Sustainability","DCC","DCC"
"777","Darragh Byrne",NA,2015,"Head - Group Legal and Compliance","DCC","DCC"
"778","Caroline Davis",NA,2017,"Head - Group Internal Audit","DCC","DCC"
"779","Yvonne Divilly",NA,2015,"Head - Group Tax","DCC","DCC"
"780","Clive Fitzharris",NA,2017,"Head - Group Strategy & Development","DCC","DCC"
"781","Niall Kelly",NA,2015,"Head - Group Treasury","DCC","DCC"
"782","Nicola McCracken",NA,2016,"Head - Group HR","DCC","DCC"
"783","Conor Murphy",NA,2017,"Head - Group Financial Planning & Control","DCC","DCC"
"784","Gavin O'Hara",NA,2015,"Head - Group Accounting","DCC","DCC"
"785","Gerard Whyte",NA,2015,"Company Secretary, Head - Enterprise Risk Management","DCC","DCC"
"786","Mark Breuer",NA,2018,"Non-Executive Director","DCC","DCC"
"787","Caroline Dowling",NA,2019,"Non-Executive Director","DCC","DCC"
"788","David Jukes",59,2015,"Non-Executive Independent Director","DCC","DCC"
"789","Pamela Kirby",65,2013,"Non-Executive Independent Director","DCC","DCC"
"790","Jane Lodge",64,2012,"Non-Executive Independent Director","DCC","DCC"
"791","Cormac McCarthy",55,2016,"Non-Executive Independent Director","DCC","DCC"
"792","Mark Ryan",59,2017,"Non-Executive Independent Director","DCC","DCC"
"793","Leslie Van de Walle",63,2010,"Senior Non-Executive Independent Director","DCC","DCC"
"794","Tony Rice",NA,2016,"Non-Executive Chairman of the Board","DPH","DECHRA PHARM"
"795","Ian Page",NA,2001,"Chief Executive Officer, Executive Director","DPH","DECHRA PHARM"
"796","Paul Sandland",NA,2019,"Acting Chief Financial Officer, Executive Director","DPH","DECHRA PHARM"
"797","Mike Eldred",NA,2015,"President, North America","DPH","DECHRA PHARM"
"798","Anthony Griffin",NA,2012,"Managing Director - Dechra Veterinary Products Europe, Executive Director","DPH","DECHRA PHARM"
"799","Katy Clough",NA,2014,"Group HR Director","DPH","DECHRA PHARM"
"800","Giles Coley",57,2018,"Dechra Veterinary Products International Group Director","DPH","DECHRA PHARM"
"801","Simon Francis",NA,2019,"Group Manufacturing and Supply Director","DPH","DECHRA PHARM"
"802","Susan Longhofer",NA,2015,"Regulatory Affairs and Business Development Group Director","DPH","DECHRA PHARM"
"803","Anthony Lucas",NA,2016,"Group Product Development Director","DPH","DECHRA PHARM"
"804","Allen Mellor",NA,2012,"Group IT Director","DPH","DECHRA PHARM"
"805","Melanie Hall",NA,2017,"Secretary","DPH","DECHRA PHARM"
"806","Lisa Bright",51,2019,"Non-Executive Director","DPH","DECHRA PHARM"
"807","Julian Heslop",62,2013,"Independent Non-Executive Director","DPH","DECHRA PHARM"
"808","Lawson Macartney",60,2016,"Non-Executive Independent Director","DPH","DECHRA PHARM"
"809","Ishbel Macpherson",58,2013,"Senior Independent Non-Executive Director","DPH","DECHRA PHARM"
"810","John Burns",73,2019,"Non-Executive Chairman of the Board","DLN","DERWENT LONDON"
"811","Paul Williams",57,2019,"Chief Executive Officer, Executive Director","DLN","DERWENT LONDON"
"812","Damian Wisniewski",56,2010,"Finance Director, Executive Director","DLN","DERWENT LONDON"
"813","Rick Meakin",NA,NA,"Group Financial Controller","DLN","DERWENT LONDON"
"814","Nigel George",54,NA,"Executive Director","DLN","DERWENT LONDON"
"815","Simon Silver",67,2011,"Executive Director","DLN","DERWENT LONDON"
"816","David Silverman",48,NA,"Executive Director","DLN","DERWENT LONDON"
"817","Quentin Freeman",NA,2015,"Head - Investor & Corporate Communications","DLN","DERWENT LONDON"
"818","Richard Baldwin",NA,2011,"Head - Development","DLN","DERWENT LONDON"
"819","Lesley Bufton",NA,NA,"Head - Property Marketing","DLN","DERWENT LONDON"
"820","John Davies",NA,NA,"Head - Sustainability","DLN","DERWENT LONDON"
"821","Katy Levine",NA,NA,"Head - Human Resources","DLN","DERWENT LONDON"
"822","Mark Murray",NA,NA,"Head - Information Technology","DLN","DERWENT LONDON"
"823","Ben Ridgwell",NA,NA,"Head - Asset and Property Management","DLN","DERWENT LONDON"
"824","Celine Thompson",NA,2006,"Head - Leasing","DLN","DERWENT LONDON"
"825","David Westgate",NA,NA,"Head - Tax","DLN","DERWENT LONDON"
"826","Jennifer Whybrow",NA,NA,"Head - Financial Planning and Analysis","DLN","DERWENT LONDON"
"827","Peter Withers",NA,NA,"Head - Property & Facilities Management","DLN","DERWENT LONDON"
"828","David Lawler",53,2017,"Company Secretary","DLN","DERWENT LONDON"
"829","Claudia Arney",47,2015,"Independent Non-Executive Director","DLN","DERWENT LONDON"
"830","Lucinda Bell",54,2018,"Non-Executive Independent Director","DLN","DERWENT LONDON"
"831","Richard Dakin",54,2013,"Independent Non-Executive Director","DLN","DERWENT LONDON"
"832","Simon Fraser",54,2015,"Senior Independent Non-Executive Director","DLN","DERWENT LONDON"
"833","Helen Gordon",59,2017,"Independent Non-Executive Director","DLN","DERWENT LONDON"
"834","Cilla Snowball",59,2015,"Independent Non-Executive Director","DLN","DERWENT LONDON"
"835","Stephen Young",63,2010,"Independent Non-Executive Director","DLN","DERWENT LONDON"
"836","Javier Ferran",63,2017,"Non-Executive Chairman of the Board","DGE","DIAGEO"
"837","Ivan Menezes",58,2015,"Chief Executive Officer, Executive Director","DGE","DIAGEO"
"838","Kathryn Mikells",53,2015,"Chief Financial Officer, Executive Director","DGE","DIAGEO"
"839","David Cutter",49,2014,"President, Global Supply and Procurement","DGE","DIAGEO"
"840","Sam Fischer",49,2014,"President, Diageo Greater China and Asia","DGE","DIAGEO"
"841","Alberto Gavazzi",51,2013,"President, Diageo Latin America and Caribbean","DGE","DIAGEO"
"842","John Kennedy",NA,2017,"President, Diageo Europe, Russia, Turkey and India","DGE","DIAGEO"
"843","Anand Kripalu",59,2014,"Chief Executive Officer - United Spirits Limited","DGE","DIAGEO"
"844","Deirdre Mahlan",55,2017,"President - Diageo North America","DGE","DIAGEO"
"845","John O'Keeffe",46,2015,"President, Diageo Africa","DGE","DIAGEO"
"846","Sylvia Saller",61,2013,"Chief Marketing Officer","DGE","DIAGEO"
"847","David Harlock",57,2016,"General Counsel Corporate Centre, Company Secretary","DGE","DIAGEO"
"848","Siobhan Moriarty",55,2013,"General Counsel","DGE","DIAGEO"
"849","Victoria Frame",45,2017,"Group Strategy Director","DGE","DIAGEO"
"850","Brian Franz",52,2015,"Chief Productivity Officer","DGE","DIAGEO"
"851","Daniel Mobley",41,2017,"Corporate Relations Director","DGE","DIAGEO"
"852","Mairead Nayager",42,2015,"Human Resources Director","DGE","DIAGEO"
"853","Debra Crew",48,2019,"Non-Executive Director","DGE","DIAGEO"
"854","Susan Kilsby",60,2018,"Non-Executive Director","DGE","DIAGEO"
"855","Peggy Bruzelius",70,2009,"Independent Non-Executive Director","DGE","DIAGEO"
"856","Evan Davies",66,2011,"Senior Non-Executive Independent Director","DGE","DIAGEO"
"857","Kwon Ping Ho",66,2012,"Independent Non-Executive Director","DGE","DIAGEO"
"858","Betsy Holden",63,2009,"Independent Non-Executive Director","DGE","DIAGEO"
"859","Nicola Mendelsohn",45,2014,"Independent Non-Executive Director","DGE","DIAGEO"
"860","Alan Stewart",NA,2014,"Independent Non-Executive Director","DGE","DIAGEO"
"861","John Nicholas",61,2019,"Independent Non-Executive Chairman of the Board","DPLM","DIPLOMA"
"862","Johnny Thomson",NA,2019,"Chief Executive Officer","DPLM","DIPLOMA"
"863","Nigel Lingwood",55,2012,"Group Finance Director, Executive Director","DPLM","DIPLOMA"
"864","Anthony Gallagher",NA,2012,"Group Company Secretary","DPLM","DIPLOMA"
"865","Andrew Smith",57,2015,"Non-Executive Director","DPLM","DIPLOMA"
"866","Anne Thorburn",NA,2015,"Non-Executive Director","DPLM","DIPLOMA"
"867","Charles Packshaw",NA,2015,"Senior Independent Non-Executive Director","DPLM","DIPLOMA"
"868","Stephen Hemsley",62,2010,"Non-Executive Chairman of the Board","DOM","DOMINO'S PIZZA"
"869","David Wild",64,2014,"Chief Executive Officer, Executive Director","DOM","DOMINO'S PIZZA"
"870","Colin Halpern",NA,2008,"Non-Executive Vice Chairman of the Board","DOM","DOMINO'S PIZZA"
"871","David Bauernfeind",NA,2018,"Chief Financial Officer, Executive Director","DOM","DOMINO'S PIZZA"
"872","Adrian Bushnell",NA,2016,"Company Secretary","DOM","DOMINO'S PIZZA"
"873","Ian Bull",NA,2019,"Independent Non-Executive Director","DOM","DOMINO'S PIZZA"
"874","Kevin Higgins",55,2014,"Non-Executive Independent Director","DOM","DOMINO'S PIZZA"
"875","Ebbe Jacobsen",70,2014,"Non-Executive Independent Director","DOM","DOMINO'S PIZZA"
"876","Helen Keays",52,2016,"Senior Independent Non-Executive Director","DOM","DOMINO'S PIZZA"
"877","Philip Cox",66,2015,"Non-Executive Chairman of the Board","DRX","DRAX"
"878","Will Gardiner",NA,2018,"Group Chief Executive Officer, Executive Director","DRX","DRAX"
"879","Andy Skelton",NA,2019,"Chief Financial Officer","DRX","DRAX"
"880","Jonathan Kini",NA,2016,"Chief Executive - Drax Retail","DRX","DRAX"
"881","Pete Madden",NA,2016,"Chief Executive - Drax Biomass","DRX","DRAX"
"882","Andy Koss",NA,2016,"Chief Executive - Drax Power, Executive Director","DRX","DRAX"
"883","Clare Harbord",NA,2017,"Director - Corporate Affairs","DRX","DRAX"
"884","David McCallum",NA,2016,"Company Secretary","DRX","DRAX"
"885","John Baxter",NA,2019,"Non-Executive Director","DRX","DRAX"
"886","Vanessa Simms",42,2018,"Non-Executive Director","DRX","DRAX"
"887","Tim Cobbold",NA,2010,"Independent Non-Executive Director","DRX","DRAX"
"888","Nicola Hodson",NA,2018,"Non-Executive Independent Director","DRX","DRAX"
"889","David Nussbaum",NA,2019,"Senior Independent Non-Executive Director","DRX","DRAX"
"890","Mark Strafford",NA,2018,"Head of Investor Relations","DRX","DRAX"
"891","Andy Harrison",57,2015,"Non-Executive Chairman of the Board","DNLM","DUNELM"
"892","Nick Wilkinson",51,2018,"Chief Executive Officer, Executive Director","DNLM","DUNELM"
"893","William Adderley",71,2016,"Executive Deputy Chairman of the Board","DNLM","DUNELM"
"894","Laura Carr",NA,2018,"Chief Financial Officer, Director","DNLM","DUNELM"
"895","Dawn Durrant",46,2016,"Company Secretary","DNLM","DUNELM"
"896","Ian Bull",NA,2019,"Non-Executive Director","DNLM","DUNELM"
"897","Marion Sears",55,2015,"Non-Executive Director","DNLM","DUNELM"
"898","Liz Doherty",NA,2017,"Senior Non-Executive Independent Director","DNLM","DUNELM"
"899","William Reeve",NA,2015,"Non-Executive Independent Director","DNLM","DUNELM"
"900","Peter Ruis",NA,2015,"Non-Executive Independent Director","DNLM","DUNELM"
"901","John Barton",NA,2013,"Non-Executive Chairman of the Board","EZJ","EASYJET"
"902","Johan Lundgren",NA,2017,"Chief Executive Officer, Director","EZJ","EASYJET"
"903","Charles Gurassa",NA,2011,"Non-Executive Deputy Chairman of the Board, Senior Independent Director","EZJ","EASYJET"
"904","Andrew Findlay",NA,2015,"Chief Financial Officer, Executive Director","EZJ","EASYJET"
"905","Christine Browne",NA,2016,"Chief Operating Officer","EZJ","EASYJET"
"906","LIS BLAIR",NA,2018,"Chief Marketing Officer","EZJ","EASYJET"
"907","DAUD KHAN",NA,2018,"Interim Company Secretary & Group General Counsel","EZJ","EASYJET"
"908","Ella Bennett",NA,2018,"Group People Director","EZJ","EASYJET"
"909","Robert Carey",NA,2017,"Group Director of Strategy and Network","EZJ","EASYJET"
"910","THOMAS HAAGENSEN",NA,2018,"Group Markets Director","EZJ","EASYJET"
"911","Flic Howard-Allen",NA,2018,"Chief Communications Officer","EZJ","EASYJET"
"912","GARRY WILSON",NA,2018,"Chief Executive, easyJet Holidays","EZJ","EASYJET"
"913","LUCA ZUCCOLI",NA,2018,"Chief Data Officer","EZJ","EASYJET"
"914","Anastassia Lauterbach",46,2019,"Non-Executive Director","EZJ","EASYJET"
"915","Nick Leeder",NA,2019,"Non-Executive Director","EZJ","EASYJET"
"916","Andreas Bierwirth",76,2014,"Independent Non-Executive Director","EZJ","EASYJET"
"917","Moya Greene",NA,2017,"Non-Executive Independent Director","EZJ","EASYJET"
"918","Andrew Martin",NA,2011,"Independent Non-Executive Director","EZJ","EASYJET"
"919","Julie Southern",58,2018,"Independent Non-Executive Director","EZJ","EASYJET"
"920","Stuart Morgan",NA,2016,"IR Contact Officer","EZJ","EASYJET"
"921","Glen Suarez",NA,2017,"Non-Executive Independent Chairman of the Board","EDIN","EDIN.INV.TST."
"922","Steven Baldwin",49,2018,"Non-Executive Director","EDIN","EDIN.INV.TST."
"923","Elisabeth Stheeman",NA,2019,"Non-Executive Director","EDIN","EDIN.INV.TST."
"924","Victoria Hastings",NA,2013,"Non-Executive Independent Director","EDIN","EDIN.INV.TST."
"925","Gordon McQueen",NA,2011,"Non-Executive Independent Director","EDIN","EDIN.INV.TST."
"926","Maxwell Ward",NA,2011,"Non-Executive Independent Director","EDIN","EDIN.INV.TST."
"927","Nigel Wicks",NA,2005,"Non-Executive Independent Director","EDIN","EDIN.INV.TST."
"928","Peter Johnson",NA,2012,"Chairman of the Board","ECM","ELECTROCOMPS."
"929","Lindsley Ruth",NA,2015,"Chief Executive Officer, Executive Director","ECM","ELECTROCOMPS."
"930","David Egan",NA,2016,"Group Finance Director","ECM","ELECTROCOMPS."
"931","Ian Haslegrave",NA,2006,"General Counsel, Company Secretary","ECM","ELECTROCOMPS."
"932","Bessie Lee",NA,2019,"Non-Executive Director","ECM","ELECTROCOMPS."
"933","David Sleath",NA,2019,"Non-Executive Director","ECM","ELECTROCOMPS."
"934","Bertrand Bodson",44,2015,"Non-Executive Independent Director","ECM","ELECTROCOMPS."
"935","Louisa Burdett",NA,2017,"Non-Executive Independent Director","ECM","ELECTROCOMPS."
"936","Karen Guerra",NA,2013,"Non-Executive Independent Director","ECM","ELECTROCOMPS."
"937","John Pattullo",66,2016,"Senior Independent Non-Executive Director","ECM","ELECTROCOMPS."
"938","Simon Pryce",NA,2016,"Non-Executive Independent Director","ECM","ELECTROCOMPS."
"939","Polly Elvin",NA,2015,"Vice President of Investor Relations and Corporate PR","ECM","ELECTROCOMPS."
"940","Andrew Duff",59,2014,"Independent Non-Executive Chairman of the Board","ELM","ELEMENTIS"
"941","Paul Waterman",53,2016,"Chief Executive Officer, Executive Director","ELM","ELEMENTIS"
"942","Ralph Hewins",54,2016,"Group Chief Financial Officer, Executive Director","ELM","ELEMENTIS"
"943","Chris Shepherd",NA,2017,"Chief Human Resource Officer","ELM","ELEMENTIS"
"944","Walker Allen",NA,2006,"Chief Compliance Officer, General Counsel","ELM","ELEMENTIS"
"945","Marci Brand",NA,2018,"Vice President - Global Personal Care","ELM","ELEMENTIS"
"946","Christian Kather",NA,2018,"Vice President - TALC","ELM","ELEMENTIS"
"947","Robert Mangold",NA,2018,"Vice President - Global Supply Chain","ELM","ELEMENTIS"
"948","Paul Rao",NA,2014,"Vice President - Energy","ELM","ELEMENTIS"
"949","Luc Van Ravenstein",NA,2018,"Vice President - Global Coatings","ELM","ELEMENTIS"
"950","Eric Waldmann",NA,2018,"Vice President - Chromium","ELM","ELEMENTIS"
"951","JOE LUPIA",NA,2019,"Vice President - Global Research & Development","ELM","ELEMENTIS"
"952","Daniel Hughes",NA,2018,"Vice President - Business Development","ELM","ELEMENTIS"
"953","Laura Higgins",NA,2018,"Group Company Secretary","ELM","ELEMENTIS"
"954","Sandra Boss",51,2017,"Non-Executive Independent Director","ELM","ELEMENTIS"
"955","Dorothee Deuring",51,2017,"Non-Executive Independent Director","ELM","ELEMENTIS"
"956","Steve Good",57,2014,"Non-Executive Independent Director","ELM","ELEMENTIS"
"957","Anne Hyland",57,2013,"Non-Executive Independent Director","ELM","ELEMENTIS"
"958","Nick Salmon",NA,2014,"Senior Non-Executive Independent Director","ELM","ELEMENTIS"
"959","James Curran",NA,2018,"Director - Investor Relations, Strategy, M&A","ELM","ELEMENTIS"
"960","Simon Heale",66,2017,"Non-Executive Independent Chairman of the Board","ENOG","ENERGEAN OIL"
"961","Matthaios Rigas",NA,2017,"Chief Executive Officer, Executive Director","ENOG","ENERGEAN OIL"
"962","Panagiotis Benos",NA,2017,"Chief Financial Officer, Executive Director","ENOG","ENERGEAN OIL"
"963","Iman Hill",NA,2018,"Chief Operating Officer","ENOG","ENERGEAN OIL"
"964","Michelle Churchward",NA,2018,"Group General Counsel and Company Secretary","ENOG","ENERGEAN OIL"
"965","Stephen Moore",NA,2018,"Chief Growth Officer","ENOG","ENERGEAN OIL"
"966","David Bonanno",NA,2017,"Non-Executive Director","ENOG","ENERGEAN OIL"
"967","Efstathios Topouzoglou",NA,2017,"Non-Executive Director","ENOG","ENERGEAN OIL"
"968","Andrew Bartlett",NA,2017,"Senior Independent Director","ENOG","ENERGEAN OIL"
"969","Ohad Marani",64,2017,"Non-Executive Independent Director","ENOG","ENERGEAN OIL"
"970","Robert Peck",NA,2017,"Non-Executive Independent Director","ENOG","ENERGEAN OIL"
"971","Karen Simon",60,2017,"Non-Executive Independent Director","ENOG","ENERGEAN OIL"
"972","Kate Sloan",NA,2017,"IR Contact Officer","ENOG","ENERGEAN OIL"
"973","Allan Leighton",NA,2014,"Non-Executive Chairman of the Board","ETO","ENT. ONE DI"
"974","Darren Throop",54,2007,"Chief Executive Officer, Executive Director","ETO","ENT. ONE DI"
"975","Joseph Sparacio",NA,2017,"Chief Financial Officer, Executive Director","ETO","ENT. ONE DI"
"976","Mark Opzoomer",NA,2017,"Senior Independent Director","ETO","ENT. ONE DI"
"977","Michael Friisdahl",NA,2017,"Non-Executive Director","ETO","ENT. ONE DI"
"978","Scott Lawrence",NA,2016,"Non-Executive Director","ETO","ENT. ONE DI"
"979","Robert McFarlane",NA,2017,"Non-Executive Director","ETO","ENT. ONE DI"
"980","Mitzi Reaugh",41,2017,"Non-Executive Independent Director","ETO","ENT. ONE DI"
"981","Linda Robinson",NA,2017,"Non-Executive Independent Director","ETO","ENT. ONE DI"
"982","Philip Yea",63,2017,"Independent Non-Executive Chairman of the Board","EQN","EQUINITI"
"983","Guy Wakeley",48,2014,"Chief Executive Officer, Executive Director","EQN","EQUINITI"
"984","John Stier",51,2015,"Chief Financial Officer, Executive Director","EQN","EQUINITI"
"985","Paul Matthews",NA,NA,"Investment Solutions Division – CEO EQ Boardroom","EQN","EQUINITI"
"986","Liam McGrath",NA,2016,"Group COO - Intelligent Solutions Division and CEO - EQ Digital","EQN","EQUINITI"
"987","Thera Prins",NA,2016,"Investment Solutions Division – CEO EQ Invest","EQN","EQUINITI"
"988","Ric Williams",NA,2015,"Pension Solutions Division – CEO EQ Paymaster","EQN","EQUINITI"
"989","Adam Green",NA,2015,"Chief Risk Officer","EQN","EQUINITI"
"990","Mark Churley",NA,2017,"Group Business Development Director","EQN","EQUINITI"
"991","Mark Taylor",NA,2016,"Chief Customer Officer","EQN","EQUINITI"
"992","Kathy Cong",NA,2016,"Company Secretary","EQN","EQUINITI"
"993","Mark Brooker",NA,2018,"Non-Executive Independent Director","EQN","EQUINITI"
"994","Alison Burns",54,2018,"Non-Executive Independent Director","EQN","EQUINITI"
"995","Sally-Ann Hibberd",59,2016,"Non-Executive Independent Director","EQN","EQUINITI"
"996","Timothy Miller",60,2015,"Non-Executive Independent Director","EQN","EQUINITI"
"997","Cheryl Millington",NA,2018,"Non-Executive Independent Director","EQN","EQUINITI"
"998","Darren Pope",52,2018,"Senior Non-Executive Independent Director","EQN","EQUINITI"
"999","Frances Gibbons",NA,2018,"Head of Investor Relations","EQN","EQUINITI"
"1000","Paul Lester",68,2016,"Non-Executive Chairman of the Board","ESNT","ESSENTRA"
"1001","Paul Forman",NA,2017,"Chief Executive, Executive Director","ESNT","ESSENTRA"
"1002","Lily Liu",NA,2018,"Chief Financial Officer, Executive Director","ESNT","ESSENTRA"
"1003","Tim Wilson",NA,2018,"Essentra Specialist Components","ESNT","ESSENTRA"
"1004","Brett York",NA,2014,"President, Americas","ESNT","ESSENTRA"
"1005","Richard Cammish",NA,2017,"Chief Information Officer","ESNT","ESSENTRA"
"1006","Jonathan Green",NA,2005,"General Counsel, Company Secretary","ESNT","ESSENTRA"
"1007","Scott Fawcett",NA,2015,"Managing Director - Component Solutions","ESNT","ESSENTRA"
"1008","Gavin Leathem",NA,2014,"Group Human Resources Director","ESNT","ESSENTRA"
"1009","Kathrina FitzGerald",NA,2018,"Strategy & Commercial Director","ESNT","ESSENTRA"
"1010","Nick Pennell",NA,2017,"Group Operations Director","ESNT","ESSENTRA"
"1011","Iain Percival",NA,2017,"Managing Director, Essentra Packaging","ESNT","ESSENTRA"
"1012","Kamal Taneja",NA,2017,"Managing Director, Essentra Filters","ESNT","ESSENTRA"
"1013","Nicki Demby",NA,2019,"Non-Executive Director","ESNT","ESSENTRA"
"1014","Mary Reilly",64,2017,"Non-Executive Director","ESNT","ESSENTRA"
"1015","Ralf Wunderlich",52,2017,"Non-Executive Director","ESNT","ESSENTRA"
"1016","Tommy Breen",58,2018,"Senior Independent Director","ESNT","ESSENTRA"
"1017","Lorraine Trainer",64,2013,"Non-Executive Independent Director","ESNT","ESSENTRA"
"1018","Leslie Van de Walle",63,2019,"Non-Executive Chairman of the Board","ERM","EUROMONEY INST."
"1019","Andrew Rashbass",51,2015,"Chief Executive Officer, Executive Director","ERM","EUROMONEY INST."
"1020","Wendy Pallot",46,2018,"Chief Financial Officer, Executive Director","ERM","EUROMONEY INST."
"1021","Janice Babiak",61,2017,"Non-Executive Independent Director","ERM","EUROMONEY INST."
"1022","Colin Day",63,2018,"Non-Executive Independent Director","ERM","EUROMONEY INST."
"1023","Tristan Hillgarth",66,2012,"Independent Non-Executive Director","ERM","EUROMONEY INST."
"1024","Imogen Joss",NA,2017,"Non-Executive Independent Director","ERM","EUROMONEY INST."
"1025","Lorna Tilbian",61,2018,"Non-Executive Independent Director","ERM","EUROMONEY INST."
"1026","Charles Palmer",NA,NA,"IR Contact Officer","ERM","EUROMONEY INST."
"1027","Mike Rogers",53,2019,"Independent Non-Executive Chairman of the Board","EXPN","EXPERIAN"
"1028","Brian Cassin",50,2014,"Chief Executive Officer, Executive Director","EXPN","EXPERIAN"
"1029","George Rose",67,2014,"Deputy Chairman of the Board, Senior Independent Non-Executive Director","EXPN","EXPERIAN"
"1030","Lloyd Pitchford",46,2014,"Chief Financial Officer, Executive Director","EXPN","EXPERIAN"
"1031","Kerry Williams",56,2014,"Chief Operating Officer, Executive Director","EXPN","EXPERIAN"
"1032","Charles Brown",NA,NA,"Company Secretary","EXPN","EXPERIAN"
